City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
115,Port Elizabeth,ZA,2021-10-11 01:13:29,-33.918,25.5701,54.54,75,69,7.83,broken clouds
116,Chokurdakh,RU,2021-10-11 01:13:49,70.6333,147.9167,19.81,87,100,6.42,overcast clouds
117,Dmitriyevskoye,RU,2021-10-11 01:14:05,45.8053,41.8967,47.91,76,6,13.06,clear sky
118,Ilulissat,GL,2021-10-11 01:14:06,69.2167,-51.1,33.82,80,20,2.3,few clouds
119,Najran,SA,2021-10-11 01:14:09,17.4924,44.1277,69.57,30,99,3.71,overcast clouds
120,Olinda,BR,2021-10-11 01:14:10,-8.0089,-34.8553,80.33,78,75,9.22,broken clouds
121,Contamana,PE,2021-10-11 01:14:10,-7.3333,-75.0167,81.82,55,43,2.66,scattered clouds
122,Hasaki,JP,2021-10-11 01:14:11,35.7333,140.8333,79.2,68,0,16.73,clear sky
123,Luderitz,NA,2021-10-11 01:14:11,-26.6481,15.1594,70.48,35,1,4.09,clear sky
124,Ashland,US,2021-10-11 01:14:12,40.8167,-82.2665,71.96,80,88,8.75,overcast clouds
125,Watsa,CD,2021-10-11 01:14:13,3.0372,29.5355,62.04,96,100,1.57,overcast clouds
126,Kondagaon,IN,2021-10-11 01:14:14,19.6,81.6667,65.82,81,7,2.86,clear sky
127,Viedma,AR,2021-10-11 01:14:14,-40.8135,-62.9967,57.56,62,0,17.02,clear sky
128,Plettenberg Bay,ZA,2021-10-11 01:14:15,-34.0527,23.3716,61.75,48,100,6.08,overcast clouds
129,Ertil,RU,2021-10-11 01:14:16,51.8406,40.8056,40.33,64,0,4.18,clear sky
130,Jonuta,MX,2021-10-11 01:14:16,18.0833,-92.1333,80.49,83,4,3.29,clear sky
131,Santa Cruz Cabralia,BR,2021-10-11 01:14:17,-16.2781,-39.0247,73.63,100,90,4.61,overcast clouds
132,Thonon-Les-Bains,FR,2021-10-11 01:14:17,46.25,6.5,42.28,92,0,3.62,clear sky
133,Saint George,US,2021-10-11 01:14:17,37.1041,-113.5841,71.64,30,1,3.0,clear sky
134,Mount Gambier,AU,2021-10-11 01:14:18,-37.8333,140.7667,55.04,49,77,8.25,broken clouds
135,Tiksi,RU,2021-10-11 01:14:19,71.6872,128.8694,29.53,97,100,7.23,light snow
136,Cidreira,BR,2021-10-11 01:14:19,-30.1811,-50.2056,64.78,80,49,20.18,scattered clouds
137,Aksarka,RU,2021-10-11 01:14:20,66.5606,67.7975,25.7,85,13,3.94,few clouds
138,Barrow,US,2021-10-11 01:14:20,71.2906,-156.7887,24.82,86,75,9.22,mist
139,Riyadh,SA,2021-10-11 01:09:30,24.6877,46.7219,75.34,18,0,3.67,clear sky
140,Pacific Grove,US,2021-10-11 01:13:50,36.6177,-121.9166,76.28,76,1,5.01,clear sky
141,Hualmay,PE,2021-10-11 01:14:21,-11.0964,-77.6139,63.55,88,23,7.94,few clouds
142,Tucuman,AR,2021-10-11 01:14:23,-26.8241,-65.2226,75.2,43,75,0.0,broken clouds
143,Vila,PT,2021-10-11 01:14:24,42.0304,-8.1588,52.68,68,94,5.23,overcast clouds
144,Bengkulu,ID,2021-10-11 01:14:16,-3.8004,102.2655,75.9,92,98,7.31,overcast clouds
145,Ocampo,MX,2021-10-11 01:14:24,21.65,-101.5,68.13,54,100,6.35,overcast clouds
146,Synya,RU,2021-10-11 01:14:25,65.3718,58.0387,29.01,92,100,9.62,light snow
147,Shakawe,BW,2021-10-11 01:14:27,-18.3667,21.85,68.77,43,0,10.31,clear sky
148,Yerofey Pavlovich,RU,2021-10-11 01:14:27,53.9667,121.9667,40.12,45,0,6.82,clear sky
149,Antalaha,MG,2021-10-11 01:14:28,-14.9003,50.2788,64.33,87,10,6.49,clear sky
150,Alice Springs,AU,2021-10-11 01:14:30,-23.7,133.8833,54.95,94,75,9.22,broken clouds
151,Colares,PT,2021-10-11 01:14:30,38.7992,-9.4469,73.33,60,97,3.0,overcast clouds
152,Saskylakh,RU,2021-10-11 01:14:31,71.9167,114.0833,21.65,96,100,7.2,light snow
153,Esperance,AU,2021-10-11 01:14:31,-33.8667,121.9,64.24,37,100,24.79,light rain
154,Seduva,LT,2021-10-11 01:14:31,55.7667,23.7667,37.83,80,0,8.01,clear sky
155,Oro Valley,US,2021-10-11 01:11:25,32.3909,-110.9665,78.98,23,0,1.99,clear sky
156,Corrales,US,2021-10-11 01:14:33,35.2378,-106.6067,64.27,25,1,7.0,clear sky
157,Homer,US,2021-10-11 01:10:18,59.6425,-151.5483,48.07,65,1,4.61,clear sky
158,Gat,IL,2021-10-11 01:11:04,31.61,34.7642,69.4,69,0,4.16,clear sky
159,Diu,IN,2021-10-11 01:14:34,20.7141,70.9822,79.25,84,84,4.03,broken clouds
160,Miracema Do Tocantins,BR,2021-10-11 01:14:35,-9.5618,-48.3967,82.6,51,100,2.89,overcast clouds
161,Ngama,TD,2021-10-11 01:14:35,11.7833,17.1667,78.76,63,67,5.55,broken clouds
162,College,US,2021-10-11 01:14:35,64.8569,-147.8028,37.58,94,90,0.0,light snow
163,Zilair,RU,2021-10-11 01:14:36,52.2332,57.4392,38.26,90,94,2.86,overcast clouds
164,Khingansk,RU,2021-10-11 01:14:36,49.1167,131.1833,38.84,78,5,12.21,clear sky
165,Lebu,CL,2021-10-11 01:14:36,-37.6167,-73.65,50.11,88,7,13.42,clear sky
166,San Luis,AR,2021-10-11 01:14:37,-33.295,-66.3356,55.04,76,0,5.97,clear sky
167,Lompoc,US,2021-10-11 01:14:37,34.6391,-120.4579,77.77,77,20,12.66,few clouds
168,Linjiang,CN,2021-10-11 01:14:37,41.8069,126.9078,52.32,55,0,0.6,clear sky
169,Meiganga,CM,2021-10-11 01:14:38,6.5167,14.3,64.45,95,100,1.3,overcast clouds
170,Katsuura,JP,2021-10-11 01:14:38,35.1333,140.3,81.19,69,6,15.17,clear sky
171,Ahipara,NZ,2021-10-11 01:14:39,-35.1667,173.1667,60.96,61,100,11.27,overcast clouds
172,Pevek,RU,2021-10-11 01:14:39,69.7008,170.3133,23.72,91,100,4.72,overcast clouds
173,Omsukchan,RU,2021-10-11 01:14:40,62.5333,155.8,21.6,73,3,5.35,clear sky
174,Whitecourt,CA,2021-10-11 01:14:40,54.1502,-115.6855,40.86,52,67,9.46,broken clouds
175,Muros,ES,2021-10-11 01:14:40,42.7762,-9.0603,63.23,75,9,9.26,clear sky
176,Kijang,KR,2021-10-11 01:14:41,35.2442,129.2139,69.15,88,100,16.22,overcast clouds
177,Derzhavinsk,KZ,2021-10-11 01:14:41,51.1,66.3167,34.74,71,10,9.28,clear sky
178,Port Lincoln,AU,2021-10-11 01:14:42,-34.7333,135.8667,55.78,50,3,12.08,clear sky
179,Usak,TR,2021-10-11 01:14:42,38.5,29.4167,55.62,70,0,0.92,clear sky
180,Sao Joao Da Barra,BR,2021-10-11 01:14:42,-21.6403,-41.0511,67.77,91,100,16.82,overcast clouds
181,Gumdag,TM,2021-10-11 01:14:43,39.2061,54.5906,51.24,26,0,15.93,clear sky
182,Oriximina,BR,2021-10-11 01:14:43,-1.7656,-55.8661,81.75,62,85,3.11,overcast clouds
183,San Cristobal,VE,2021-10-11 01:14:43,7.7669,-72.225,71.78,99,100,1.72,overcast clouds
184,Fortuna,US,2021-10-11 01:14:44,40.5982,-124.1573,59.47,67,0,4.0,clear sky
185,Bizhbulyak,RU,2021-10-11 01:14:44,53.6967,54.2642,39.99,89,100,3.85,overcast clouds
186,Morgan City,US,2021-10-11 01:14:45,29.6994,-91.2068,78.04,94,1,5.75,clear sky
187,Clyde River,CA,2021-10-11 01:14:46,70.4692,-68.5914,31.68,80,59,5.57,broken clouds
188,Kirovskiy,RU,2021-10-11 01:14:48,45.0917,133.5136,52.27,51,0,14.5,clear sky
189,Port Hedland,AU,2021-10-11 01:14:48,-20.3167,118.5667,82.45,16,7,13.8,clear sky
190,Sinj,HR,2021-10-11 01:14:49,43.7036,16.6394,49.89,86,90,7.74,overcast clouds
191,Pemangkat,ID,2021-10-11 01:14:50,1.1667,108.9667,83.28,79,78,7.14,broken clouds
192,Belmonte,BR,2021-10-11 01:14:50,-15.8631,-38.8828,73.9,92,76,5.64,broken clouds
193,Gaspe,CA,2021-10-11 01:14:52,48.8334,-64.4819,49.86,90,100,2.46,overcast clouds
194,Port Angeles,US,2021-10-11 01:09:55,48.1181,-123.4307,53.38,86,1,12.66,clear sky
195,Marawi,PH,2021-10-11 01:14:55,7.9986,124.2928,78.66,83,96,8.77,overcast clouds
196,Sampit,ID,2021-10-11 01:14:59,-2.5333,112.95,81.0,88,100,2.86,overcast clouds
197,Udachnyy,RU,2021-10-11 01:14:59,66.4167,112.4,21.0,92,100,20.78,light snow
198,Orlik,RU,2021-10-11 01:15:00,52.5178,99.825,29.7,64,100,2.19,overcast clouds
199,San Andres,CO,2021-10-11 01:14:42,12.5847,-81.7006,84.22,79,40,6.91,scattered clouds
200,Hay River,CA,2021-10-11 01:15:01,60.8156,-115.7999,39.27,68,100,14.0,overcast clouds
201,Bakal,RU,2021-10-11 01:15:02,54.9417,58.8083,37.2,98,100,0.76,overcast clouds
202,Pahrump,US,2021-10-11 01:15:04,36.2083,-115.9839,74.1,17,0,3.53,clear sky
203,Urengoy,RU,2021-10-11 01:15:05,65.9667,78.3667,25.5,79,31,9.51,scattered clouds
204,Moindou,NC,2021-10-11 01:15:06,-21.6924,165.677,84.15,49,0,7.92,clear sky
205,Ucluelet,CA,2021-10-11 01:12:12,48.9329,-125.5528,51.1,78,60,5.99,broken clouds
206,Cherskiy,RU,2021-10-11 01:15:07,68.75,161.3,13.28,89,18,5.28,few clouds
207,Calatayud,ES,2021-10-11 01:15:08,41.3535,-1.6432,64.98,73,10,2.82,clear sky
208,Batticaloa,LK,2021-10-11 01:15:08,7.7102,81.6924,79.9,74,97,4.72,overcast clouds
209,Stornoway,GB,2021-10-11 01:15:09,58.2093,-6.3865,48.16,87,20,6.91,few clouds
210,Ushtobe,KZ,2021-10-11 01:15:11,45.2514,77.9838,43.61,72,100,17.63,overcast clouds
211,Pundaguitan,PH,2021-10-11 01:15:12,6.3711,126.1689,84.42,74,100,12.5,overcast clouds
212,Swan River,CA,2021-10-11 01:15:17,52.1058,-101.2676,53.49,54,0,8.05,clear sky
213,Dhidhdhoo,MV,2021-10-11 01:15:20,6.8833,73.1,82.99,78,100,19.48,overcast clouds
214,Umba,RU,2021-10-11 01:15:22,66.6871,34.3429,47.41,99,100,2.71,overcast clouds
215,Yellowknife,CA,2021-10-11 01:15:29,62.456,-114.3525,35.42,100,90,8.01,light rain
216,Hithadhoo,MV,2021-10-11 01:15:30,-0.6,73.0833,82.87,68,98,14.32,overcast clouds
217,Port Macquarie,AU,2021-10-11 01:15:30,-31.4333,152.9167,64.89,94,90,20.71,overcast clouds
218,Bambous Virieux,MU,2021-10-11 01:15:31,-20.3428,57.7575,72.21,100,75,9.22,light rain
219,Kodiak,US,2021-10-11 01:15:46,57.79,-152.4072,44.62,83,100,11.9,overcast clouds
220,Bradeanu,RO,2021-10-11 01:15:48,44.9333,26.85,44.89,39,100,9.89,overcast clouds
221,Piranshahr,IR,2021-10-11 01:15:48,36.701,45.1413,49.15,56,0,4.5,clear sky
222,Coquimbo,CL,2021-10-11 01:13:16,-29.9533,-71.3436,56.93,71,0,4.61,clear sky
223,Road Town,VG,2021-10-11 01:15:15,18.4167,-64.6167,81.19,80,45,24.72,scattered clouds
224,Geraldton,AU,2021-10-11 01:15:51,-28.7667,114.6,67.12,59,75,12.66,broken clouds
225,New Norfolk,AU,2021-10-11 01:15:51,-42.7826,147.0587,53.74,45,100,3.0,overcast clouds
226,Sorland,NO,2021-10-11 01:15:54,67.667,12.6934,49.15,80,100,5.82,overcast clouds
227,Uvinza,TZ,2021-10-11 01:15:54,-5.1036,30.3911,73.81,49,100,3.0,overcast clouds
228,Berlevag,NO,2021-10-11 01:15:55,70.8578,29.0864,44.01,89,100,6.29,overcast clouds
229,Tomarovka,RU,2021-10-11 01:15:55,50.6834,36.2331,41.76,61,100,6.4,overcast clouds
230,Lorengau,PG,2021-10-11 01:15:56,-2.0226,147.2712,85.66,67,31,4.09,scattered clouds
231,Jining,CN,2021-10-11 01:17:34,35.405,116.5814,52.66,60,100,7.23,overcast clouds
232,Sao Filipe,CV,2021-10-11 01:17:34,14.8961,-24.4956,80.92,69,0,4.88,clear sky
233,Hovd,MN,2021-10-11 01:17:34,48.0056,91.6419,35.73,33,100,1.25,overcast clouds
234,Victoria,HK,2021-10-11 01:15:54,22.2855,114.1577,85.03,71,25,1.99,scattered clouds
235,Hamilton,US,2021-10-11 01:15:48,39.1834,-84.5333,75.36,77,1,1.01,clear sky
236,Sinop,TR,2021-10-11 01:17:36,41.7711,34.8709,52.52,89,6,3.0,clear sky
237,Baoning,CN,2021-10-11 01:17:36,25.3378,110.026,67.86,68,75,17.9,broken clouds
238,Moroni,KM,2021-10-11 01:17:37,-11.7022,43.2551,75.09,75,91,2.91,overcast clouds
239,Flinders,AU,2021-10-11 01:17:37,-34.5833,150.8552,60.39,70,100,4.0,overcast clouds
240,Mopipi,BW,2021-10-11 01:17:38,-21.1833,24.8833,61.75,68,0,20.36,clear sky
241,Charters Towers,AU,2021-10-11 01:17:38,-20.1,146.2667,84.78,35,0,7.9,clear sky
242,Mattawa,US,2021-10-11 01:17:38,46.7379,-119.9028,58.1,55,92,18.01,overcast clouds
